#Snapshot Redshift TotalStellarMass
1 14.98917324 0.18198776
2 11.9802133153 5.7380834
3 10.9756432941 15.927305
4 9.99659046619 37.861683
5 9.38877127194 63.161419
6 9.00233985416 85.856094
7 8.44947629437 129.79478
8 8.01217294887 174.22742
9 7.59510714987 228.53316
10 7.23627606617 287.63309
11 7.00541704554 333.76498
12 6.49159774567 461.45312
13 6.01075739884 619.61072
14 5.84661374788 665.60565
15 5.52976580795 804.23474
16 5.22758097313 963.78229
17 4.99593346816 1123.0123
18 4.66451770247 1418.5383
19 4.42803373661 1645.776
20 4.17683491473 1919.3096
21 4.00794511147 2137.8948
22 3.70877426464 2594.3669
23 3.49086136926 3000.8877
24 3.28303305796 3485.7974
25 3.00813107163 4224.9302
26 2.89578500573 4556.3682
27 2.73314261732 5094.6333
28 2.5772902716 5658.7646
29 2.44422570455 6153.0083
30 2.31611074396 6679.5908
31 2.20792547238 7137.8989
32 2.1032696526 7598.6904
33 2.00202813925 8058.4917
34 1.90408954353 8518.4199
35 1.82268925262 8917.5352
36 1.74357057433 9313.3887
37 1.66666955611 9702.3818
38 1.60423452207 10035.534
39 1.53123902916 10431.126
40 1.4955121665 10629.305
41 1.41409822037 11078.438
42 1.3575766674 11400.722
43 1.30237845991 11712.27
44 1.24847261425 12017.593
45 1.20625808078 12256.104
46 1.15460271236 12552.288
47 1.11415056377 12779.634
48 1.07445789455 13015.127
49 1.03551044566 13247.817
50 0.997294225782 13469.873
51 0.950531351585 13740.097
52 0.923000816178 13900.532
53 0.886896937575 14107.623
54 0.851470900625 14313.245
55 0.816709979012 14514.738
56 0.791068248946 14664.93
57 0.757441372616 14863.497
58 0.732636182022 15003.742
59 0.700106353719 15195.001
60 0.676110411213 15334.164
61 0.644641840685 15513.018
62 0.621428745243 15645.227
63 0.598543288188 15776.358
64 0.575980845108 15898.292
65 0.546392183141 16062.226
66 0.524565820434 16178.057
67 0.503047523245 16293.229
68 0.481832943421 16405.486
69 0.460917794181 16517.014
70 0.440297849248 16622.256
71 0.419968941997 16728.021
72 0.399926964614 16827.473
73 0.38016786726 16925.346
74 0.360687657262 17018.635
75 0.347853841858 17082.062
76 0.328829724206 17170.729
77 0.310074120128 17256.916
78 0.297717684517 17313.457
79 0.2733533465784399 17418.537
80 0.26134325616101228 17470.572
81 0.24354018155467028 17545.898
82 0.22598838626019768 17621.41
83 0.21442503551449454 17668.203
84 0.19728418237600986 17740.133
85 0.18038526170574931 17809.637
86 0.169252033244 17855.068
87 0.152748768902 17809.637
88 0.14187620397 17966.164
89 0.125759332411 18033.502
90 0.109869940459 18096.332
91 0.0994018026302 18138.715
92 0.0838844307975 18198.807
93 0.0736613846564 18237.064
94 0.0585073227945 18293.064
95 0.0485236299818 18326.408
96 0.0337243718735 18377.795
97 0.0239744283828 18411.07
98 0.00952166696794 18457.959
99 2.22044604925e-16 18491.729
